time,open,high,low,close
1727211600,1.34303,1.3486500000000001,1.34189,1.3484
1727298000,1.3484,1.34891,1.34569,1.34635
1727384400,1.34635,1.35261,1.3458,1.3511600000000001
1727643600,1.35057,1.35372,1.3488900000000001,1.35245
1727730000,1.35245,1.35392,1.34803,1.34893
1727816400,1.34893,1.35093,1.3471600000000001,1.35008
1727902800,1.35008,1.35592,1.3491,1.35539
1727989200,1.35539,1.35906,1.3544,1.3571600000000001
1728248400,1.3571600000000001,1.3639000000000001,1.35646,1.36188
1728334800,1.36188,1.36745,1.36104,1.36461
1728421200,1.36461,1.37181,1.36403,1.37103
1728507600,1.37103,1.37748,1.36907,1.3740700000000001
1728594000,1.3740700000000001,1.37828,1.37242,1.37579
1728853200,1.37545,1.38048,1.3751200000000001,1.37947
1728939600,1.37947,1.38381,1.3769200000000001,1.37737
1729026000,1.37737,1.37926,1.3749,1.37507
1729112400,1.37507,1.3800700000000001,1.3745,1.3794
1729198800,1.3794,1.38145,1.3784100000000001,1.3797000000000001
1729458000,1.37978,1.3849,1.37949,1.38301
1729544400,1.38301,1.38372,1.3813,1.38167
1729630800,1.38167,1.38621,1.38103,1.38355
1729717200,1.38355,1.38679,1.3811900000000001,1.38535
1729803600,1.38535,1.3897,1.38374,1.3887800000000001
1730062800,1.38796,1.39079,1.38795,1.38886
1730149200,1.38886,1.3929,1.3876,1.3913900000000001
1730235600,1.3913900000000001,1.3940000000000001,1.38945,1.3903
1730322000,1.3903,1.39447,1.38901,1.39328
1730408400,1.39328,1.3958300000000001,1.39018,1.39439
1730671200,1.3916300000000001,1.39265,1.38743,1.3901000000000001
1730757600,1.3901000000000001,1.39062,1.38216,1.38237
1730844000,1.38237,1.39584,1.38172,1.3938300000000001
1730930400,1.3938300000000001,1.39477,1.3841400000000001,1.38595
1731016800,1.38595,1.39274,1.38535,1.39029
1731276000,1.39059,1.39501,1.39043,1.39239
1731362400,1.39239,1.39667,1.39162,1.39433
1731448800,1.39433,1.40022,1.39299,1.3997
1731535200,1.3997,1.4064,1.39873,1.40589
1731621600,1.40589,1.4105,1.40319,1.40829
1731880800,1.40819,1.4102000000000001,1.40035,1.40136
1731967200,1.40136,1.4035900000000001,1.39541,1.39553
1732053600,1.39553,1.40138,1.39499,1.39736
1732140000,1.39736,1.39775,1.3930500000000001,1.39731
1732226400,1.39731,1.40204,1.39569,1.39709
1732485600,1.3947,1.4006800000000001,1.39269,1.39856
1732572000,1.39856,1.41772,1.3978,1.40531
1732658400,1.40531,1.40775,1.40083,1.40282
1732744800,1.40282,1.40311,1.39977,1.40118
1732831200,1.40118,1.4045100000000001,1.39798,1.39989
1733090400,1.3989,1.4089,1.39852,1.40439
1733176800,1.40439,1.40753,1.4008500000000002,1.4068100000000001
1733263200,1.4068100000000001,1.40825,1.4051200000000001,1.4065
1733349600,1.4065,1.40788,1.40096,1.4023400000000001
1733436000,1.4023400000000001,1.4164,1.4015600000000001,1.41499
1733695200,1.41485,1.41743,1.40926,1.41707
1733781600,1.41707,1.4194200000000001,1.4155,1.41801
1733868000,1.41801,1.41968,1.4119,1.41578
1733954400,1.41578,1.42273,1.41304,1.42192
1734040800,1.42192,1.42446,1.42087,1.42272
1734300000,1.42284,1.4270100000000001,1.42161,1.42412
1734386400,1.42412,1.43231,1.42312,1.43089
1734472800,1.43089,1.44488,1.43018,1.44459
1734559200,1.44459,1.4466400000000001,1.43436,1.43968
1734645600,1.43968,1.44348,1.43347,1.43689
1734904800,1.4359600000000001,1.4432800000000001,1.4348100000000001,1.43692
1734991200,1.43692,1.44197,1.43621,1.43625
1735164000,1.43625,1.44198,1.4360300000000001,1.44065
1735250400,1.44065,1.4449,1.4374200000000001,1.44089
1735509600,1.44123,1.44324,1.43439,1.43537
1735596000,1.43537,1.4409,1.43372,1.43809
1735768800,1.43809,1.44416,1.4369800000000001,1.44021
1735855200,1.44021,1.44629,1.4382300000000001,1.44419
1736114400,1.44419,1.44485,1.42788,1.4330800000000001
1736200800,1.4330800000000001,1.43704,1.4297,1.43661
1736287200,1.43661,1.4409,1.43385,1.43699
1736373600,1.43699,1.44044,1.43643,1.43932
1736460000,1.43932,1.44421,1.43748,1.44154
1736719200,1.44154,1.44465,1.43739,1.43774
1736805600,1.43774,1.44097,1.43422,1.43479
1736892000,1.43479,1.43661,1.4301300000000001,1.43392
1736978400,1.43392,1.44026,1.43185,1.43931
1737064800,1.43931,1.4484000000000001,1.43816,1.44777
1737324000,1.44637,1.44851,1.42602,1.43046
1737410400,1.43046,1.4516,1.42887,1.43187
1737496800,1.43187,1.43905,1.43,1.4376900000000001
1737583200,1.4376900000000001,1.4412800000000001,1.43337,1.4381
1737669600,1.4381,1.4383000000000001,1.43139,1.43388
1737928800,1.43589,1.4401,1.43327,1.4371500000000001
1738015200,1.4371500000000001,1.44195,1.43619,1.4394200000000001
1738101600,1.4394200000000001,1.44709,1.43886,1.44144
1738188000,1.44144,1.45939,1.43917,1.44809
1738274400,1.44809,1.45588,1.4369100000000001,1.45218
1738533600,1.47353,1.47926,1.43875,1.44235
1738620000,1.44235,1.45019,1.43012,1.43181
1738706400,1.43181,1.4343700000000001,1.4269100000000001,1.4305700000000001
1738792800,1.4305700000000001,1.4366,1.43005,1.43034
1738879200,1.43034,1.43446,1.42724,1.42849
1739138400,1.43529,1.43772,1.43045,1.43143
